#ωm,ωm_native,ωm_pinned
1,0.4667747367431177,0.5557070045863435
2,0.4873475684564418,0.6218277325521716
3,0.5059104847816553,0.6374219593267495
4,0.5226478133489,0.6476647723462364
5,0.5376964856769337,0.6639854254297095
6,0.5511563035789049,0.6750659783570759
7,0.5630958095915687,0.6803160586539235
8,0.5735544771593138,0.7094098384706926
9,0.5825404606199854,0.7290150190175475
10,0.5900211590674679,0.7366784205670227
11,0.5959026766175833,0.7581253489355075
12,0.6000000000000001,0.7600189257670676
