u,v,R,G,B,label
1,2,246.41,246.86,246.29,0.006153838538364315
2,3,244.06,246.31,243.47,0.019837472127295662
2,4,239.35,245.22,237.82,0.05409433317292454
3,4,239.35,245.22,237.82,0.047021519217968884
3,5,244.8,242.2,244.94,-0.02615298732619217
4,5,241.04,233.96,241.41,-0.07131596207481201
4,6,157.82,118.24,175.24,-0.576816983893024
5,6,185.0,226.82,179.0,0.3208209245506908
5,7,228.76,242.75,225.12,0.12363707045082085
6,7,0.0,68.0,27.0,1.0
6,8,156.22,116.16,173.82,-0.5786124417654324
7,8,226.65,206.47,229.06,-0.22298404421863283
7,9,226.65,206.47,229.06,-0.22412051960972218
8,9,227.59,242.47,223.71,0.1296789211011189
8,10,244.06,246.31,243.47,0.018553513352050893
9,10,244.06,246.31,243.47,0.018648074428907025
9,11,244.06,246.31,243.47,0.021238521938317916
10,11,246.41,246.86,246.29,0.0030386526739621844
11,12,246.41,246.86,246.29,0.0021230118165842075
