#ωm	ωm_native	ωm_pinned
1	2.373210147285709	2.385937872372098
2	2.3747340796868026	2.3860999145544675
3	2.37651036775258	2.3860999145544683
4	2.3765103677525805	2.386405907273421
5	2.3806432922412415	2.3864059072734216
6	2.3806432922412415	2.3867379619068054
7	2.3829240540052736	2.3899639157110553
8	2.3835578528557253	2.390301631115652
9	2.383557852855726	2.392108219945099
10	2.384954583234981	2.392108219945099
11	2.3849545832349817	2.396791479825337
12	2.3867379470230032	2.396791479825337
13	2.3868075079873736	2.403106928169835
14	2.3881496554802384	2.4058183482917865
15	2.390724870670013	2.4065596185011326
16	2.390724870670014	2.4065596185011326
17	2.3946607275353213	2.4088165374375743
18	2.394660727535322	2.4088165374375747
19	2.3999999999999995	2.4136183431627662
