#ωm	ωm_native	ωm_pinned
1	1.066912042386779	1.4133685818046189
2	1.1139379675037637	1.4133830978211654
3	1.1563714320703968	1.4673546159402269
4	1.1946221771580825	1.4674441322393832
5	1.229020572185538	1.5312959114849252
6	1.2597844173283124	1.5352436171243053
7	1.2870757021112227	1.5640915429256017
8	1.3109818337929477	1.5941163556324713
9	1.331520726528971	1.6190811730718286
10	1.3486196873509773	1.6525808750607391
11	1.3620632562211659	1.7003651192940594
12	1.3714285714285714	1.754136193583955
