u,v,R,G,B,error
1,2,167,255,167,0.16040717454054265
2,3,1,255,1,0.4632685925321677
2,4,212,255,212,0.07975572071518489
3,5,140,255,140,0.20897121622603243
4,5,125,255,125,0.2364334294257604
4,6,100,255,100,0.28254614908684816
5,6,253,255,253,0.003743773919554383
5,7,49,255,49,0.37597738876558484
6,7,152,255,152,0.18726123627039037
6,8,49,255,49,0.37597738876570963
7,8,253,255,253,0.003743773919688831
7,9,100,255,100,0.2825461490871868
8,9,125,255,125,0.23643342942588375
8,10,140,255,140,0.20897121623049109
9,11,212,255,212,0.07975572071687254
10,11,0,255,0,0.4632685925343757
11,12,167,255,167,0.16040717454052156
