u,v,R,G,B,error
1,3,1,255,1,0.1437220097218406
1,4,139,255,139,0.06584798474360992
1,5,192,255,192,0.03563007812571282
1,6,218,255,218,0.02118296674382204
1,7,231,255,231,0.013989351958581782
1,8,238,255,238,0.009590471658737849
2,5,125,255,125,0.07344863142832955
2,6,135,255,135,0.06799947620364091
2,7,206,255,206,0.02777304345594827
2,8,216,255,216,0.022148560000511356
2,9,234,255,234,0.012395818215910459
2,10,238,255,238,0.009605212054461073
3,6,187,255,187,0.03839874327302088
3,7,111,255,111,0.08153710294901995
3,8,208,255,208,0.02658590009774095
3,9,212,255,212,0.024567184482402634
3,10,234,255,234,0.012307431854056097
3,11,238,255,238,0.00960521205455952
4,7,185,255,185,0.03967052631852865
4,8,106,255,106,0.08441713863249214
4,9,209,255,209,0.026059281923256336
4,10,212,255,212,0.024567184482243244
4,11,234,255,234,0.01239581821592921
5,8,186,255,186,0.039428874414287635
5,9,106,255,106,0.08441713863254313
5,10,208,255,208,0.026585900097893307
5,11,216,255,216,0.022148560000508716
5,12,238,255,238,0.00959047165701383
6,9,185,255,185,0.039670526318553265
6,10,111,255,111,0.08153710294943775
6,11,206,255,206,0.027773043456030457
6,12,231,255,231,0.013989351958501373
7,10,187,255,187,0.038398743272998324
7,11,135,255,135,0.06799947620346262
7,12,218,255,218,0.021182966743760256
8,11,125,255,125,0.07344863142905765
8,12,192,255,192,0.03563007812332373
9,12,139,255,139,0.06584798474351851
10,12,0,255,0,0.14372200972207558
