u,v,R,G,B,label
1,2,235,255,235,0.08099429099468969
2,4,219,255,219,0.14273296989801398
3,4,35,255,35,0.8631292786046483
3,5,223,255,223,0.12623483497049603
4,5,148,255,148,0.4226232338006084
4,6,206,255,206,0.19477464076267448
5,6,37,255,37,0.8561541438026501
5,7,184,255,184,0.28181187985356604
6,7,124,255,124,0.5142373865615815
6,8,184,255,184,0.28181187985368217
7,8,37,255,37,0.8561541438023994
7,9,206,255,206,0.19477464076299
8,9,148,255,148,0.4226232338003786
8,10,223,255,223,0.1262348349746496
9,10,35,255,35,0.8631292785976348
9,11,219,255,219,0.14273296989958617
11,12,235,255,235,0.08099429099467015
