u,v,R,G,B
1,8,152,255,152
1,10,152,255,152
1,12,152,255,152
1,14,152,255,152
1,16,152,255,152
1,18,152,255,152
2,11,191,255,191
2,12,184,255,184
2,14,193,255,193
2,16,193,255,193
2,18,184,255,184
2,19,191,255,191
3,8,184,255,184
3,9,191,255,191
3,13,191,255,191
3,14,184,255,184
3,16,193,255,193
3,18,193,255,193
4,8,193,255,193
4,10,184,255,184
4,11,191,255,191
4,15,191,255,191
4,16,184,255,184
4,18,193,255,193
5,8,193,255,193
5,10,193,255,193
5,12,184,255,184
5,13,191,255,191
5,17,191,255,191
5,18,184,255,184
6,8,184,255,184
6,10,193,255,193
6,12,193,255,193
6,14,184,255,184
6,15,191,255,191
6,19,191,255,191
7,9,191,255,191
7,10,184,255,184
7,12,193,255,193
7,14,193,255,193
7,16,184,255,184
7,17,191,255,191
8,10,1,255,1
8,11,202,255,202
8,12,192,255,192
8,16,192,255,192
8,17,202,255,202
8,18,1,255,1
9,12,202,255,202
9,18,202,255,202
10,12,1,255,1
10,13,202,255,202
10,14,192,255,192
10,18,192,255,192
10,19,202,255,202
11,14,202,255,202
12,14,1,255,1
12,15,202,255,202
12,16,192,255,192
13,16,202,255,202
14,16,0,255,0
14,17,202,255,202
14,18,192,255,192
15,18,202,255,202
16,18,1,255,1
16,19,202,255,202
